Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
13,02-III-230524,Revisar los avances a las recomendaciones críticas de APHIS-USDA.,Ing. Abigail Estrada Estrada (SADER),"23 mayo, 2024","31 mayo, 2024",Completado,Tercera Ordinaria
14,03-III-230524,Las Uniones Ganaderas atenderán las pruebas CFT para ganado que sale del estado conforme mejoren las condiciones climáticas y se acuerden mecanismos con el gobierno estatal.,Dr. Roger Armando Díaz Mendoza (UGRY),"23 mayo, 2024","31 diciembre, 2025",En Progreso,Tercera Ordinaria
15,04-III-230524,"UGROY,SINIIGA y Gobierno del Estado realizarán visitas técnicas al Grupo Agropecuario Opchén para seguimiento de reportes.",C. Noé J. Cepeda Lizama (UGROY),"23 mayo, 2024","13 junio, 2024",En Progreso,Tercera Ordinaria
16,01-IV-070624,SINIIGA dará de baja PSG sin opinión técnica del Gobierno del Estado conforme a protocolo y oficio DSA/156/2024.,MVZ Francis A. Genovés Chanona (SINIIGA),"7 junio, 2024","13 junio, 2024",En Progreso,Cuarta Ordinaria
17,02-IV-070624,Productores solicitarán identificadores a SINIIGA para PSG con autorización del Gobierno del Estado; SINIIGA notificará estatus si no se autoriza.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"7 junio, 2024","14 julio, 2024",En Progreso,Cuarta Ordinaria
18,03-IV-070624,Gobierno del Estado integrará una base de datos de fierros registrados presentando avances el 18/06/24.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"7 junio, 2024","18 junio, 2024",Completado,Cuarta Ordinaria
19,04-IV-070624,Implementar certificado de propiedad con Uniones Ganaderas para certificar origen del ganado antes de movilización.,Dr. Roger Armando Díaz Mendoza (UGRY),"7 junio, 2024","14 agosto, 2024",En Progreso,Cuarta Ordinaria
20,05-IV-070624,Gobierno del Estado seguirá bitácoras de entradas y salidas de ganado en Centros de Acopio.,M.Sc. Gerardo Solís Pasos (Gobierno del Estado),"7 junio, 2024","14 julio, 2024",En Progreso,Cuarta Ordinaria
21,06-IV-070624,Enviar oficio para inspección el 26/06/24 al...,Ing. Juan Carlos Rodríguez Andrade (SEDER),"7 junio, 2024","25 junio, 2024",Pendiente,Quinta Ordinaria
22,01-V-180624,"Aprobar el avance del barrido en municipios orientales con 5,130 hatos y 207,148 cabezas.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"18 junio, 2024","9 julio, 2024",Completado,Quinta Ordinaria
23,02-V-180624,CEFPPY enviará actas de cierre de barrido a SINIIGA para suspensión de UPPs no participantes.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"18 junio, 2024","9 julio, 2024",En Progreso,Quinta Ordinaria
24,03-V-180624,SEDER continuará supervisiones mensuales a PSG y centros REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"18 junio, 2024","29 septiembre, 2024",En Progreso,Quinta Ordinaria
25,04-V-180624,Realizar visitas técnicas a Grupo Agropecuario Opchén en julio 2025.,Dr. Moisés Abraham Martín Sima (SEDER),"18 junio, 2024","27 julio, 2024",Pendiente,Quinta Ordinaria
26,05-V-180624,Implementar Google Sheets para seguimiento de tareas con capacitación.,Ing. Abigail Estrada Estrada (SADER),"18 junio, 2024","14 julio, 2024",Pendiente,Quinta Ordinaria
27,06-V-180624,Establecer protocolo de comunicación vía correo institucional.,Ing. Abigail Estrada Estrada (SADER),"18 junio, 2024","14 julio, 2024",Pendiente,Quinta Ordinaria
28,01-VI-020724,"Ratificar avance del barrido: 26 municipios cerrados con 206,014 cabezas.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"2 julio, 2024","8 agosto, 2025",Completado,Sexta Ordinaria
29,02-VI-020724,SEDER asegurará supervisión bimestral a PSG y centros REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"2 julio, 2024","1 agosto, 2024",En Progreso,Sexta Ordinaria
30,03-VI-020724,Elaborar plan de visitas a Opchén y comunicar al grupo.,Dr. Moisés Abraham Martín Sima (SEDER),"2 julio, 2024","26 julio, 2024",Pendiente,Sexta Ordinaria
31,04-VI-020724,Implementar Google Drive para tareas.,Ing. Abigail Estrada Estrada (SADER),"2 julio, 2024","26 julio, 2024",Pendiente,Sexta Ordinaria
32,05-VI-020724,Protocolo de comunicación formal.,Ing. Abigail Estrada Estrada (SADER),"2 julio, 2024","26 julio, 2024",Pendiente,Sexta Ordinaria
33,01-VII-090724,Aprobar agenda de visitas SENASICA 11-15/08/2025.,MVZ. José Joaquín Peral Rodríguez (SENASICA),"9 julio, 2024","9 julio, 2024",Completado,Séptima Ordinaria
34,02-VII-090724,Reunión de sensibilización sobre PSG y REEMO antes de visita.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"9 julio, 2024","8 agosto, 2025",Pendiente,Séptima Ordinaria
35,03-VII-090724,Programar coordinación previa para 22/07/2025.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"9 julio, 2024","19 julio, 2025",Pendiente,Séptima Ordinaria
36,01-VIII-160724,Preparar Excel con correlación hatos/UPPs.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"16 julio, 2024",,Pendiente,Octava Ordinaria
37,02-VIII-160724,Actualizar presentaciones con referencias temporales.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"16 julio, 2024",,Pendiente,Octava Ordinaria
38,03-VIII-160724,Proceder con agenda de visitas validada.,MVZ Diana Susana García Hernández (SENASICA),"16 julio, 2024","12 agosto, 2025",Completado,Novena Ordinaria
39,01-IX-230724,Ratificar grupo de trabajo.,Ing. Abigail Estrada Estrada (SADER),"23 julio, 2024","23 julio, 2024",Completado,Novena Ordinaria
40,02-IX-230724,"Establecer avance barrido: 179,698 cabezas.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"23 julio, 2024","23 julio, 2024",Completado,Novena Ordinaria
41,03-IX-230724,Cierre barrido 28/02/25 en municipios específicos.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"23 julio, 2024","28 febrero, 2025",En Progreso,Novena Ordinaria
42,04-IX-230724,Enviar actas a SINIIGA para suspensión UPPs.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"23 julio, 2024","15 marzo, 2025",En Progreso,Novena Ordinaria
43,05-IX-230724,UPPs suspendidas requieren prueba negativa para reactivación.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"23 julio, 2024",,En Progreso,Novena Ordinaria
44,06-IX-230724,Reunión UGROY-CEFPPY para predio San Abraham.,Mario E. López Meneses (UGROY),"23 julio, 2024","23 julio, 2024",Completado,Novena Ordinaria
45,07-IX-230724,Emitir comunicado sobre disposiciones SENASICA.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"23 julio, 2024","28 febrero, 2025",Completado,Novena Ordinaria
46,01-X-140225,Ratificar el grupo de trabajo con participantes específicos.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"14 febrero, 2025","14 febrero, 2025",Completado,Décima Ordinaria
47,02-X-140225,"Establecer avance del barrido: 179,698 cabezas probadas (37.06% del censo 2015).",Ing. Juan Carlos Rodríguez Andrade (SEDER),"14 febrero, 2025","14 febrero, 2025",Completado,Décima Ordinaria
48,03-X-140225,Fecha de cierre del barrido: 28/02/25 para municipios específicos.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"14 febrero, 2025","28 febrero, 2025",En Progreso,Décima Ordinaria
49,04-X-140225,CEFPPY enviará actas a SINIIGA para suspender UPP's no participantes.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"14 febrero, 2025","15 marzo, 2025",En Progreso,Décima Ordinaria
50,05-X-140225,UPP's suspendidas deberán presentar prueba de tuberculina negativa para reactivarse.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"14 febrero, 2025","15 marzo, 2025",En Progreso,Décima Ordinaria
51,06-X-140225,Reunión entre UGROY y CEFPPY para acciones en predio San Abraham.,Mario E. López Meneses (UGROY),"14 febrero, 2025","14 febrero, 2025",Completado,Décima Ordinaria
52,07-X-140225,Gobierno del estado emitirá comunicado sobre disposiciones de SENASICA para movilización y pruebas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"14 febrero, 2025","28 febrero, 2025",Pendiente,Décima Ordinaria
53,01-XI-310325,Dar por terminados municipios específicos y programar actas de cierre para otros el 15/04/25.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"31 marzo, 2025","15 abril, 2025",En Progreso,Undécima Ordinaria
54,02-XI-310325,Apertura de actividades del barrido en nuevos municipios en abril 2025.,M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"31 marzo, 2025","30 abril, 2025",Pendiente,Undécima Ordinaria
55,03-XI-310325,Presentar protocolo para reactivación de UPP's inhabilitadas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"31 marzo, 2025","31 marzo, 2025",Completado,Undécima Ordinaria
56,04-XI-310325,Gobierno del estado asegura supervisión bimestral a centros expedidores REEMO.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"31 marzo, 2025","30 abril, 2025",En Progreso,Undécima Ordinaria
57,05-XI-310325,Gobierno del estado atiende supervisión y autorización de PSG.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"31 marzo, 2025","30 abril, 2025",En Progreso,Undécima Ordinaria
58,06-XI-310325,Gobierno del estado asegura prueba de pliegue caudal para ganado movilizado fuera del estado.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"31 marzo, 2025","30 abril, 2025",En Progreso,Undécima Ordinaria
59,07-XI-310325,Próxima reunión en mayo 2025.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"31 marzo, 2025","31 mayo, 2025",Pendiente,Undécima Ordinaria
60,01-XII-190625,"Aprobar el avance del barrido. CEFPPY enviará actas de cierre de 26 municipios del oriente (24 UGROY y 2 UGRY) con 206,014 cabezas y 64% del dato registrado en BCI a SINIIGA.",MVZ Alfredo Colín Álvarez (CEFPPY),"19 junio, 2025","30 junio, 2025",En Progreso,Duodécima Ordinaria
61,02-XII-190625,"SEDER continuará supervisiones mensuales de PSG,alcanzando 100% de cobertura.",Ing. Juan Carlos Rodríguez Andrade (SEDER),"19 junio, 2025","30 septiembre, 2025",En Progreso,Duodécima Ordinaria
62,03-XII-190625,SEDER elaborará plan de visitas técnicas a Grupo Agropecuario Opchén y comunicará al grupo de trabajo.,Dr. Moisés Abraham Martín Sima (SEDER),"19 junio, 2025","15 julio, 2025",Pendiente,Duodécima Ordinaria
63,04-XII-190625,SADER implementará Google Sheets/Google Drive para seguimiento de tareas con capacitación.,Ing. Abigail Estrada Estrada y MVZ Sergio Muñoz de Alba Medrano (SADER),"19 junio, 2025","15 julio, 2025",Pendiente,Duodécima Ordinaria
64,05-XII-190625,SADER establecerá protocolo de comunicación vía correo electrónico institucional con respaldo de grupo de WhatsApp.,Ing. Abigail Estrada Estrada (SADER),"19 junio, 2025","15 julio, 2025",Pendiente,Duodécima Ordinaria
65,01-XIII-170725,Aprobar el orden del día de la XIII Reunión Ordinaria.,Ing. Dámaso Pech Uc (SEDER),"11 julio, 2025","11 julio, 2025",Completado,Decimotercera Ordinaria
66,02-XIII-170725,"Aprobar la propuesta de agenda de visitas de SENASICA del 11 al 15 de agosto de 2025,con modificaciones menores para optimizar la logística.",MVZ. José Joaquín Peral Rodríguez (SENASICA),"11 julio, 2025","11 julio, 2025",Completado,Decimotercera Ordinaria
67,03-XIII-170725,Realizar una reunión de sensibilización con responsables de ventanillas y MVZ responsables sobre procedimientos de registro de PSG y emisión de guías REEMO antes de la visita de pre-certificación.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"11 julio, 2025","7 julio, 2025",Pendiente,Decimocuarta Ordinaria
68,04-XIII-170725,Programar reunión de coordinación previa a la visita de pre-certificación de SENASICA para el 22/07/2025 a las 17:00 horas.,Ing. Dámaso Pech Uc (SEDER),"11 julio, 2025","16 julio, 2025",Pendiente,Decimocuarta Ordinaria
69,01-XIV-240725,Aprobación del orden del día de la XIV Reunión Ordinaria.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"24 julio, 2025","24 julio, 2025",Completado,Decimocuarta Ordinaria
70,02-XIV-240725,"Aprobación de la propuesta de agenda de visitas de SENASICA del 11 al 15 de agosto de 2025, con modificaciones menores para optimizar la logística.",MVZ. José Joaquín Peral Rodríguez (SENASICA),"24 julio, 2025","24 julio, 2025",Completado,Decimocuarta Ordinaria
71,03-XIV-240725,"Realizar una reunión de sensibilización con responsables de ventanillas y MVZ responsables sobre procedimientos de registro de PSG y emisión de guías REEMO, en una fecha por definir antes de la visita de pre-certificación.",Ing. Juan Carlos Rodríguez Andrade (SEDER),"24 julio, 2025","8 agosto, 2025",Pendiente,Decimocuarta Ordinaria
72,04-XIV-240725,Programar una reunión de coordinación previa a la visita de pre-certificación de SENASICA para el martes 29 de julio de 2025 a las 12:00 horas.,Ing. Juan Carlos Rodríguez Andrade (SEDER),"24 julio, 2025","29 julio, 2025",Pendiente,Decimocuarta Ordinaria
73,01-XV-080825,"Preparar y enviar un archivo Excel con correlación detallada de hatos y UPPs por municipio para todo el barrido, incluyendo cifras de prevalencia, reactores y cuarentenas, basado en datos de barrido y censo BCI.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"8 agosto, 2025",,Pendiente,Decimoquinta Ordinaria
74,02-XV-080825,"Actualizar las presentaciones estatales con puntos de referencia temporal para todas las cifras (e.g., periodos específicos para rastreabilidad y tasas de envío).",Ing. Juan Carlos Rodríguez Andrade (SEDER),"8 agosto, 2025",,Pendiente,Decimoquinta Ordinaria
75,03-XV-080825,"Proceder con la agenda de visitas validada con dos grupos, incorporando revisiones de laboratorio y expedientes, según el documento PROGRAMA DE VISITAS SENASICA AGOSTO 2025_MODIFICADA_05_08_2025 (1).xlsx.",Ing. Juan Carlos Rodríguez Andrade (SEDER),"8 agosto, 2025","12 agosto, 2025",En Progreso,Decimoquinta Ordinaria
76,01-XVI-150825,"Retomar el Consejo Peninsular de Sanidad e Inocuidad Agroalimentaria (CPSIA) para definir criterios epidemiológicos unificados, fortalecer Puntos de Verificación e Inspección (PVI) y elaborar recomendaciones específicas para la Península, incluyendo presupuestación regional para actividades de erradicación. Alinear con T-MEC para exportaciones. Responsable: MVZ Jorge Carlos Berlin Montero, con apoyo de SEDER Yucatán y UGRY. Plazo: Plan inicial en semana del 15 de septiembre de 2025; implementación antes del 6 de octubre de 2025.",MVZ Jorge Carlos Berlin Montero,"15 agosto, 2025","6 octubre, 2025",Pendiente,Decimosexta Ordinaria
77,02-XVI-150825,"Desarrollar procedimiento para determinar hatos epidemiológicos usando datos de barrido 2023-2025, actualizando censos UPP y regresando a predios si necesario. Meta: Reducción de prevalencia a <0.5% en hatos afectados. Responsable: MVZ Alfredo Colín Álvarez (CEFPPY) y Ing. Juan Carlos Rodríguez Andrade (SEDER). Plazo: Análisis completo al cierre de 2025; reportes trimestrales a SENASICA/APHIS.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"15 agosto, 2025","31 diciembre, 2025",En Progreso,Decimosexta Ordinaria
78,03-XVI-150825,"Incrementar personal para supervisiones PSG (al menos 5 capacitados) y auditar SINIIGA para corregir deficiencias (e.g., dobles PSG, investigación TIA). Determinar flujo de matanza en traspatio y plan de vigilancia/pruebas. Responsable: MVZ Francis A. Genovez Chanona (SINIIGA) y SENASICA. Plazo: Auditoría inicial antes del 21 de septiembre de 2025; plan implementado al 1 de enero de 2026.",MVZ Francis A. Genovés Chanona (SINIIGA),"15 agosto, 2025","21 septiembre, 2025",En Progreso,Decimosexta Ordinaria
79,04-XVI-150825,"Reportar inconsistencias de CENASA a DGSA, evaluar cambio de laboratorio y solicitar cubos de parafina/kit PRONAVIBE para diagnósticos (PCR, spoligotipificación). Responsable: CEFPPY y Laboratorio Regional Mérida. Plazo: Reporte inmediato (antes del 29 de agosto de 2025); adquisición antes del 6 de octubre de 2025.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"15 agosto, 2025","6 octubre, 2025",En Progreso,Decimosexta Ordinaria
80,05-XVI-150825,"Revisar SINIIGA para listar UPP inactivas, suspender hasta inventario y evaluar in situ. Incluir datos suplementarios APHIS (e.g., mapas GPS, listas de cuarentenas, resúmenes de granulomas). Responsable: MVZ Alejandro Perera (APHIS) y SINIIGA Regional. Plazo: Revisión completa antes del 15 de septiembre de 2025; validación USDA.",MVZ Francis A. Genovés Chanona (SINIIGA),"15 agosto, 2025","15 septiembre, 2025",Pendiente,Decimosexta Ordinaria
81,01-XVII-260825: ,"Finalizar el 10% pendiente de información en el Excel de entregables (incluyendo listas de cuarentenas, muestras de granulomas y tasas de MVZ) y enviarlo a SENASICA antes del 29 de agosto de 2025. Responsable: MVZ Victor Manuel Calderón Jiménez (SENASICA). Plazo: 28 de agosto de 2025.",MVZ Victor M. Calderon,"26 agosto, 2025","28 agosto, 2025",En Progreso,Decimoséptima Ordinaria
82,02-XVII-260825: ,"Preparar propuestas de agenda para discusión en la semana del 15 de septiembre de 2025, incorporando sitios como Mario José Gamboa (Dzonot Carretero) para el 1 de diciembre, y otros pendientes (e.g., corrales de engorda y hatos epidemiológicos). Responsable:MVZ Victor Manuel Calderón Jiménez (SENASICA). Plazo: 12 de septiembre de 2025.",MVZ Victor M. Calderon,"26 agosto, 2025","12 septiembre, 2025",En Progreso,Decimoséptima Ordinaria
83,03-XVII-260825: ,"Entregar las tres agendas finales con solventaciones a observaciones (e.g., de Documento A.a y Supplemental info request) a más tardar el 21 de septiembre de 2025. Responsable: Dr. Roger Armando Díaz Mendoza (UGRY/CEFPPY). Plazo: 21 de septiembre de 2025.",Dr. Roger Armando Díaz Mendoza ,"26 agosto, 2025","21 septiembre, 2025",En Progreso,Decimoséptima Ordinaria
84,04-XVII-260825: ,"Remitir paquetes de información (cuatro en total: por región y estados) alineados con requisitos APHIS (mapas GPS, listas de exportadores, etc.) a más tardar el 6 de octubre de 2025. Responsable: MVZ Joaquin Peral (SENASICA). Plazo: 6 de octubre de 2025.",MVZ Joaquin Peral (SENASICA). ,"26 agosto, 2025","6 octubre, 2025",En Progreso,Decimoséptima Ordinaria
85,05-XVII-260825: ,"Estandarizar el formato de minutas y reportes futuros, incluyendo tablas de avances y benchmarks, para mejorar transparencia y coordinación interinstitucional. Responsable: M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY). Plazo: Inmediato, aplicable a próximas sesiones.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"26 agosto, 2025","26 agosto, 2025",Cumplido,Decimoséptima Ordinaria
86,01-XVIII-11092025. ,"Compartir las tablas ajustadas en su versión final con los representantes de la península para implementación inmediata, asegurando alineación con normas federales y estatales. Responsable: MVZ . Moisés Abraham Martín Sima",MVZ . Moisés Abraham Martín Sima,"11 septiembre, 2025","11 septiembre, 2025",Pendiente,Decimoctava Ordinaria
87,02-XVIII-11092025. ,"Monitorear el cumplimiento de requisitos homologados en movilizaciones interestatales, con reportes mensuales a SENASICA para evaluación de políticas públicas. MVZ Alfredo Colin, Inmediato.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"11 septiembre, 2025","11 septiembre, 2025",Pendiente,Decimoctava Ordinaria
88,03-XVIII-11092025. ,"Convocar una reunión de seguimiento en 30 días para revisar impactos socio-económicos y ajustes necesarios, priorizando inclusión de productores marginados. MVZ Alfredo Colin.",M. en P.P. MVZ Alfredo Colín Álvarez (CEFPPY),"11 septiembre, 2025","11 octubre, 2025",Pendiente,Decimoctava Ordinaria
